description,section
"Wearing the dress or carrying any token used by a soldier, sailor or airman with intent that it may be believed that he is such a soldier, sailor or airman",IPC_140
Receiving property taken by war or depredation mentioned in sections 125 And 126,IPC_127
Public servant voluntarily allowing prisoner of State or war in his custody to escape,IPC_128
Public servant negligently suffering prisoner of State or war in his custody to escape,IPC_129
"Aiding escape of, rescuing or harbouring, such prisoner, or offering Any resistance to the recapture of such prisoner",IPC_130
"Abetting mutiny, or attempting to seduce an officer, soldier sailor or airman from his allegiance or duty",IPC_131
"Abetment of mutiny, if mutiny is committed in consequence thereof",IPC_132
"Abetment of an assault by An officer, soldier, sailor Or airman on his superior officer, when in the execution of his office",IPC_133
"Abetment of such assault, if the assault is committed",IPC_134
"Abetment of the desertion of an officer, soldier, sailor or airman",IPC_135
"Harbouring such an officer, soldier, sailor or airman who has deserted",IPC_136
"Collecting arms, etc., with The intention of waging War against the Government of India",IPC_122
"Deserter concealed on board merchant vessel, through negligence of master or person in charge thereof",IPC_137
"Abetment of act of insubordination by an officer, soldier, sailor or airman, if the offence be committed in consequence",IPC_138
Conspiring to commit certain offences against the State,IPC_121A
"Collecting arms, etc., with The intention of waging War against the Government of India",IPC_122
Concealing with intent to facilitate a design to wage War,IPC_123
"Assaulting President, Governor, etc., with intent to compel or restrain the exercise of any lawful power",IPC_124
Sedition,IPC_124A
"Waging war against any Asiatic power in alliance or at peace with the Government of India, or abetting the waging of such war",IPC_125
Committing depredation On the territories of any power in alliance or at peace with the Government of India,IPC_126
"Wearing the dress or carrying any token used by a soldier, sailor or airman with intent that it may be believed that he is such a soldier, sailor or airman",IPC_140
"Wantonly giving provocation with intent to cause riot, If rioting be committed",IPC_153
Promoting enmity between classes,IPC_153A
Promoting enmity between classes of,IPC_153AA
"Imputations, assertions prejudicial to national integration",IPC_153B
"Owner or occupier of land non giving information of riot, etc.",IPC_154
Person for whose benefit or on whose behalf a riot takes place not using all lawful means to prevent it,IPC_155
Agent of owner or occupier for whose benefit a riot is committed not using all lawful means to prevent it,IPC_156
Harbouring persons hired for an unlawful assembly,IPC_157
Being hired to take part in an unlawful assembly or riot,IPC_158
Engaging in a public fight and disturbing peace is committing an affray with two or more individuals.,IPC_159
"Joining or continuing in an unlawful assembly, Knowing that it has been commanded to disperse",IPC_145
Committing affray,IPC_160
"Being or expecting to be a public servant, and taking A gratification other than Legal remuneration in respect of an official act",IPC_161
"Taking a gratification in order, by corrupt or illegal means, to influence a public servant",IPC_162
Taking a gratification for the exercise of personal influence with a public servant,IPC_163
Abetment by public servant of the offences defined in the last two preceding clauses with reference to himself,IPC_164
"Public servant obtaining any valuable thing, without consideration, From a person concerned in any proceeding or business transacted by Such public servant",IPC_165
Punishment for abetment of offences punishable under section 161 or section 165,IPC_165A
Public servant disobeying a direction of the law with intent to cause injury to any person,IPC_166
Public servant disobeying direction under law,IPC_166A
" anyone overseeing a hospital, whether public or private, and breaching the provisions of Section 357C of the Code of Criminal Procedure.",IPC_166B
Rioting,IPC_146
Public servant framing an incorrect document with intent to cause injury,IPC_167
Public servant unlawfully engaging in trade,IPC_168
Public servant unlawfully buying or bidding for property,IPC_169
Personating a Public servant,IPC_170
As described,IPC_171
"""Candidate"", ""Electoral right"" defined",IPC_171A
Murder,IPC_302
Rape : This section deals with the crime of sexual assault. ,IPC_376
Dowry Harassment : This section addresses crimes related to dowry demands and harassment. ,IPC_498
Bribery,IPC_171E
Rioting,IPC_147
Robery,IPC_390
Public nuisance,IPC_268
